date,areaType,areaCode,areaName,metric,age,value,rate
31/08/2020,nation,W92000004,Wales,femaleCases,0_to_4,33,40.8
31/08/2020,nation,W92000004,Wales,maleCases,0_to_4,46,54.3
31/08/2020,nation,W92000004,Wales,femaleCases,10_to_14,37,41.3
31/08/2020,nation,W92000004,Wales,maleCases,10_to_14,52,55.2
31/08/2020,nation,W92000004,Wales,femaleCases,15_to_19,158,179.3
31/08/2020,nation,W92000004,Wales,maleCases,15_to_19,134,144.5
31/08/2020,nation,W92000004,Wales,femaleCases,20_to_24,686,825.7
31/08/2020,nation,W92000004,Wales,maleCases,20_to_24,266,297.9
31/08/2020,nation,W92000004,Wales,femaleCases,25_to_29,965,1004.6
31/08/2020,nation,W92000004,Wales,maleCases,25_to_29,484,455.1
31/08/2020,nation,W92000004,Wales,femaleCases,30_to_34,831,817.0
31/08/2020,nation,W92000004,Wales,maleCases,30_to_34,446,418.6
31/08/2020,nation,W92000004,Wales,femaleCases,35_to_39,803,830.5
31/08/2020,nation,W92000004,Wales,maleCases,35_to_39,437,453.9
31/08/2020,nation,W92000004,Wales,femaleCases,40_to_44,830,887.7
31/08/2020,nation,W92000004,Wales,maleCases,40_to_44,415,454.0
31/08/2020,nation,W92000004,Wales,femaleCases,45_to_49,1087,1265.5
31/08/2020,nation,W92000004,Wales,maleCases,45_to_49,491,586.9
31/08/2020,nation,W92000004,Wales,femaleCases,5_to_9,40,35.8
31/08/2020,nation,W92000004,Wales,maleCases,5_to_9,33,31.2
31/08/2020,nation,W92000004,Wales,femaleCases,50_to_54,1207,1182.3
31/08/2020,nation,W92000004,Wales,maleCases,50_to_54,553,570.2
31/08/2020,nation,W92000004,Wales,femaleCases,55_to_59,1067,942.7
31/08/2020,nation,W92000004,Wales,maleCases,55_to_59,589,549.0
31/08/2020,nation,W92000004,Wales,femaleCases,60_to_64,644,650.8
31/08/2020,nation,W92000004,Wales,maleCases,60_to_64,406,432.4
31/08/2020,nation,W92000004,Wales,femaleCases,65_to_69,308,329.1
