Date_ItemName_ENG,LocalHealthBoard_ItemName_ENG,Indicator_ItemName_ENG,Data
01-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),74
01-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,55
01-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),28
01-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,98
01-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),16
01-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,177
01-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),53
01-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,40
01-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),16
01-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,63
01-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
01-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,0
01-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),20
01-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,66
01-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
01-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,6
01-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),207
01-Apr-20,Wales,Non-COVID-19 admissions&#10;,505
02-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),29
02-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,61
02-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),23
02-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,87
02-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),20
02-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,190
02-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),27
02-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,77
02-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),15
02-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,67
02-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
02-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,1
02-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),25
02-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,43
02-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
02-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,4
02-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),139
02-Apr-20,Wales,Non-COVID-19 admissions&#10;,529
03-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),31
03-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,152
03-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),9
03-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,82
03-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),13
03-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,169
03-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),23
03-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,75
03-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),10
03-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,55
03-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
03-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,2
03-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),23
03-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,39
03-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),1
03-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,1
03-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),110
03-Apr-20,Wales,Non-COVID-19 admissions&#10;,573
04-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),13
04-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,90
04-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),30
04-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,87
04-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),30
04-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,139
04-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),30
04-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,52
04-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),7
04-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,39
04-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
04-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,3
04-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),24
04-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,70
04-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
04-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,5
04-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),134
04-Apr-20,Wales,Non-COVID-19 admissions&#10;,482
05-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),30
05-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,93
05-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),23
05-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,55
05-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),16
05-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,86
05-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),35
05-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,20
05-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),15
05-Apr-20,Hywel Dda University Local Health Board,Non-COVID-19 admissions&#10;,23
05-Apr-20,Powys Teaching Local Health Board,COVID-19 admissions (suspected and confirmed),0
05-Apr-20,Powys Teaching Local Health Board,Non-COVID-19 admissions&#10;,4
05-Apr-20,Swansea Bay University Local Health Board,COVID-19 admissions (suspected and confirmed),15
05-Apr-20,Swansea Bay University Local Health Board,Non-COVID-19 admissions&#10;,34
05-Apr-20,Velindre University NHS Trust,COVID-19 admissions (suspected and confirmed),0
05-Apr-20,Velindre University NHS Trust,Non-COVID-19 admissions&#10;,7
05-Apr-20,Wales,COVID-19 admissions (suspected and confirmed),134
05-Apr-20,Wales,Non-COVID-19 admissions&#10;,318
06-Apr-20,Aneurin Bevan University Local Health Board,COVID-19 admissions (suspected and confirmed),27
06-Apr-20,Aneurin Bevan University Local Health Board,Non-COVID-19 admissions&#10;,98
06-Apr-20,Betsi Cadwaladr University Local Health Board,COVID-19 admissions (suspected and confirmed),19
06-Apr-20,Betsi Cadwaladr University Local Health Board,Non-COVID-19 admissions&#10;,82
06-Apr-20,Cardiff and Vale University Local Health Board,COVID-19 admissions (suspected and confirmed),14
06-Apr-20,Cardiff and Vale University Local Health Board,Non-COVID-19 admissions&#10;,96
06-Apr-20,Cwm Taf Morgannwg University Local Health Board,COVID-19 admissions (suspected and confirmed),29
06-Apr-20,Cwm Taf Morgannwg University Local Health Board,Non-COVID-19 admissions&#10;,60
06-Apr-20,Hywel Dda University Local Health Board,COVID-19 admissions (suspected and confirmed),17
