Dates,All staff groups with COVID-19,All staff groups self-isolating
2020-04-20,2.5,5.0
2020-04-27,2.4,4.8
2020-05-04,2.2,4.7
2020-05-11,1.8,4.5
2020-05-18,1.9,4.3
2020-05-25,1.9,4.3
2020-06-01,1.6,4.2
2020-06-08,1.3,4.1
2020-06-15,1.0,4.1
2020-06-22,0.9,3.9
2020-06-29,0.7,3.8
2020-07-06,0.6,3.6
2020-07-13,0.6,3.6
2020-07-20,0.5,3.5
2020-07-27,0.5,3.4
2020-08-03,0.4,3.4
2020-08-10,0.4,3.3
2020-08-17,0.3,2.6
2020-08-24,0.3,2.1
2020-08-31,0.3,2.0
2020-09-07,0.3,1.9
2020-09-14,0.4,2.1
2020-09-21,0.5,2.0
2020-09-28,0.5,1.9
2020-10-05,0.5,1.8
2020-10-12,0.5,1.9
2020-10-19,0.6,2.0
2020-10-26,0.7,2.0
2020-11-02,1.0,2.0
2020-11-09,1.2,2.0
2020-11-16,1.2,1.9
2020-11-23,1.2,1.9
2020-11-30,1.2,2.0
2020-12-07,1.4,2.2
2020-12-14,1.7,2.6
2020-12-21,1.9,2.5
2020-12-28,2.0,2.5
2021-01-04,1.9,2.5
2021-01-11,1.7,2.6
2021-01-18,1.6,2.4
2021-01-25,1.5,2.3
2021-02-01,1.3,2.2
2021-02-08,1.1,2.1
2021-02-15,1.0,2.0
2021-02-22,0.9,2.0
2021-03-01,0.8,2.0
2021-03-08,0.8,1.9
2021-03-15,0.7,2.0
2021-03-22,0.6,1.8
2021-03-29,0.5,1.9
2021-04-05,0.5,1.5
2021-04-12,0.5,1.3
2021-04-19,0.5,1.0
