Area,Date,Total_Cases,Daily_Cases
Anglesey,06/04/2020,15,4
Blaenau Gwent,06/04/2020,111,10
Bridgend,06/04/2020,125,7
Caerphilly,06/04/2020,280,20
Cardiff,06/04/2020,684,45
Carmarthenshire,06/04/2020,142,11
Ceredigion,06/04/2020,22,4
Conwy,06/04/2020,23,4
Denbighshire,06/04/2020,45,9
Flintshire,06/04/2020,62,7
Gwynedd,06/04/2020,27,8
Merthyr Tydfil,06/04/2020,67,6
Monmouthshire,06/04/2020,119,9
Neath Port Talbot,06/04/2020,138,10
Newport,06/04/2020,425,22
Pembrokeshire,06/04/2020,49,9
Powys,06/04/2020,55,7
Rhondda Cynon Taf,06/04/2020,342,28
Swansea,06/04/2020,274,26
Torfaen,06/04/2020,163,18
Vale of Glamorgan,06/04/2020,204,21
Wrexham,06/04/2020,54,5
Anglesey,07/04/2020,15,0
Blaenau Gwent,07/04/2020,121,10
Bridgend,07/04/2020,139,14
Caerphilly,07/04/2020,295,15
Cardiff,07/04/2020,722,38
Carmarthenshire,07/04/2020,161,19
Ceredigion,07/04/2020,24,2
Conwy,07/04/2020,26,3
Denbighshire,07/04/2020,46,1
Flintshire,07/04/2020,68,6
Gwynedd,07/04/2020,29,2
Merthyr Tydfil,07/04/2020,74,7
Monmouthshire,07/04/2020,131,12
Neath Port Talbot,07/04/2020,167,29
Newport,07/04/2020,438,13
Pembrokeshire,07/04/2020,59,10
Powys,07/04/2020,58,3
Rhondda Cynon Taf,07/04/2020,365,23
Swansea,07/04/2020,323,49
Torfaen,07/04/2020,175,7
Vale of Glamorgan,07/04/2020,221,17
Wrexham,07/04/2020,60,6
Anglesey,08/04/2020,16,1
Blaenau Gwent,08/04/2020,130,9
Bridgend,08/04/2020,145,6
Caerphilly,08/04/2020,313,18
Cardiff,08/04/2020,777,56
Carmarthenshire,08/04/2020,190,29
Ceredigion,08/04/2020,24,0
Conwy,08/04/2020,33,7
Denbighshire,08/04/2020,56,10
Flintshire,08/04/2020,75,7
Gwynedd,08/04/2020,34,5
Merthyr Tydfil,08/04/2020,80,6
Monmouthshire,08/04/2020,135,4
Neath Port Talbot,08/04/2020,175,8
Newport,08/04/2020,447,9
Pembrokeshire,08/04/2020,69,10
Powys,08/04/2020,62,4
Rhondda Cynon Taf,08/04/2020,393,28
Swansea,08/04/2020,359,36
Torfaen,08/04/2020,186,11
Vale of Glamorgan,08/04/2020,236,15
Wrexham,08/04/2020,63,3
Anglesey,09/04/2020,16,0
Blaenau Gwent,09/04/2020,132,2
Bridgend,09/04/2020,145,0
Caerphilly,09/04/2020,316,3
Cardiff,09/04/2020,777,0
Carmarthenshire,09/04/2020,193,3
Ceredigion,09/04/2020,24,0
Conwy,09/04/2020,33,0
Denbighshire,09/04/2020,57,1
Flintshire,09/04/2020,75,0
Gwynedd,09/04/2020,34,0
Merthyr Tydfil,09/04/2020,80,0
Monmouthshire,09/04/2020,135,0
Neath Port Talbot,09/04/2020,175,0
Newport,09/04/2020,450,3
Pembrokeshire,09/04/2020,69,0
Powys,09/04/2020,62,0
Rhondda Cynon Taf,09/04/2020,393,0
Swansea,09/04/2020,359,0
Torfaen,09/04/2020,188,2
Vale of Glamorgan,09/04/2020,236,0
Wrexham,09/04/2020,64,1
Anglesey,10/04/2020,18,2
Blaenau Gwent,10/04/2020,145,12
Bridgend,10/04/2020,172,27
Caerphilly,10/04/2020,337,21
Cardiff,10/04/2020,875,98
Carmarthenshire,10/04/2020,209,16
Ceredigion,10/04/2020,26,2
Conwy,10/04/2020,36,3
Denbighshire,10/04/2020,74,17
Flintshire,10/04/2020,90,15
Gwynedd,10/04/2020,37,3
Merthyr Tydfil,10/04/2020,102,22
Monmouthshire,10/04/2020,143,8
Neath Port Talbot,10/04/2020,202,27
Newport,10/04/2020,483,33
Pembrokeshire,10/04/2020,79,10
Powys,10/04/2020,69,10
Rhondda Cynon Taf,10/04/2020,454,61
Swansea,10/04/2020,406,47
Torfaen,10/04/2020,203,15
Vale of Glamorgan,10/04/2020,267,31
Wrexham,10/04/2020,75,11
