Date,Weekly Number of PPE items issued
15/03/2020,4482867
22/03/2020,6065184
29/03/2020,8389362
05/04/2020,6126605
12/04/2020,11653678
19/04/2020,9930810
26/04/2020,11258863
03/05/2020,16735820
10/05/2020,13682456
17/05/2020,20206628
24/05/2020,12501898
31/05/2020,9024734
07/06/2020,15026764
14/06/2020,13666661
21/06/2020,13101503
28/06/2020,12318210
05/07/2020,14682182
12/07/2020,16538558
19/07/2020,12463873
26/07/2020,14765433
02/08/2020,11073230
09/08/2020,12719077
16/08/2020,13450630
23/08/2020,13256196
30/08/2020,13123056
06/09/2020,8734062
13/09/2020,13937699
20/09/2020,13384388
27/09/2020,13685625
04/10/2020,14253159
11/10/2020,14332226
18/10/2020,13849955
25/10/2020,14413344
01/11/2020,13612075
08/11/2020,13983948
15/11/2020,11037611
22/11/2020,14388884
29/11/2020,13897606
06/12/2020,13530690
13/12/2020,14788749
20/12/2020,16999338
27/12/2020,16537973
03/01/2021,7302788
10/01/2021,14602382
17/01/2021,16909605
24/01/2021,17418652
31/01/2021,15624987
07/02/2021,16444736
14/02/2021,17783430
21/02/2021,13928253
28/02/2021,17105087
07/03/2021,14212131
14/03/2021,12454109
21/03/2021,15484235
28/03/2021,31521303
04/04/2021,9262472
11/04/2021,11597737
