areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByDeathDate,newTestsByPublishDate
E92000001,England,nation,2021-04-21,1943,,
E92000001,England,nation,2021-04-20,2169,6,676012
E92000001,England,nation,2021-04-19,2550,8,998671
E92000001,England,nation,2021-04-18,1495,12,1631309
E92000001,England,nation,2021-04-17,1897,13,460574
E92000001,England,nation,2021-04-16,2225,14,631544
E92000001,England,nation,2021-04-15,2171,17,936979
E92000001,England,nation,2021-04-14,2054,7,1095605
E92000001,England,nation,2021-04-13,2070,17,632227
E92000001,England,nation,2021-04-12,3222,23,834556
E92000001,England,nation,2021-04-11,1338,17,1177999
E92000001,England,nation,2021-04-10,2032,17,442212
E92000001,England,nation,2021-04-09,2638,18,616831
E92000001,England,nation,2021-04-08,2486,28,872523
E92000001,England,nation,2021-04-07,2304,24,976636
E92000001,England,nation,2021-04-06,1937,21,587942
E92000001,England,nation,2021-04-05,2236,10,710539
E92000001,England,nation,2021-04-04,1954,23,785479
E92000001,England,nation,2021-04-03,2847,26,355051
E92000001,England,nation,2021-04-02,2881,19,517247
E92000001,England,nation,2021-04-01,3784,26,894525
E92000001,England,nation,2021-03-31,3327,35,1194346
E92000001,England,nation,2021-03-30,3384,37,642580
E92000001,England,nation,2021-03-29,4112,26,925653
E92000001,England,nation,2021-03-28,3153,26,1597146
E92000001,England,nation,2021-03-27,3813,28,417592
E92000001,England,nation,2021-03-26,5273,41,654514
E92000001,England,nation,2021-03-25,5286,37,1202147
E92000001,England,nation,2021-03-24,4615,32,1728376
E92000001,England,nation,2021-03-23,4583,46,781572
E92000001,England,nation,2021-03-22,4746,56,1143274
E92000001,England,nation,2021-03-21,4459,69,1846349
E92000001,England,nation,2021-03-20,4732,59,410959
E92000001,England,nation,2021-03-19,3809,53,870294
E92000001,England,nation,2021-03-18,5213,52,1366562
E92000001,England,nation,2021-03-17,4827,64,1556840
E92000001,England,nation,2021-03-16,4391,66,1264415
E92000001,England,nation,2021-03-15,4264,85,1528826
E92000001,England,nation,2021-03-14,3774,78,926566
E92000001,England,nation,2021-03-13,4539,96,393146
E92000001,England,nation,2021-03-12,5529,82,1350707
E92000001,England,nation,2021-03-11,5744,107,1555552
E92000001,England,nation,2021-03-10,4863,94,1488744
E92000001,England,nation,2021-03-09,4894,114,1322857
E92000001,England,nation,2021-03-08,3903,123,1491126
E92000001,England,nation,2021-03-07,4497,112,770423
E92000001,England,nation,2021-03-06,5118,129,411384
E92000001,England,nation,2021-03-05,5053,156,898450
E92000001,England,nation,2021-03-04,5643,131,936467
E92000001,England,nation,2021-03-03,5408,125,803883
E92000001,England,nation,2021-03-02,5530,153,623321
E92000001,England,nation,2021-03-01,4738,190,691382
E92000001,England,nation,2021-02-28,5080,197,489905
E92000001,England,nation,2021-02-27,6527,196,337138
E92000001,England,nation,2021-02-26,7393,193,555513
E92000001,England,nation,2021-02-25,8623,219,674490
E92000001,England,nation,2021-02-24,8644,236,675562
E92000001,England,nation,2021-02-23,7292,253,545669
E92000001,England,nation,2021-02-22,9420,241,625903
E92000001,England,nation,2021-02-21,8408,285,542687
E92000001,England,nation,2021-02-20,8964,298,351540
E92000001,England,nation,2021-02-19,10296,316,460915
E92000001,England,nation,2021-02-18,10740,365,482967
E92000001,England,nation,2021-02-17,10926,384,508877
E92000001,England,nation,2021-02-16,9236,394,431987
E92000001,England,nation,2021-02-15,8609,460,406430
E92000001,England,nation,2021-02-14,9499,434,352340
E92000001,England,nation,2021-02-13,11697,427,342871
E92000001,England,nation,2021-02-12,13299,453,555439
E92000001,England,nation,2021-02-11,12001,507,656722
E92000001,England,nation,2021-02-10,11551,542,691214
E92000001,England,nation,2021-02-09,10916,533,517303
E92000001,England,nation,2021-02-08,12270,615,582823
E92000001,England,nation,2021-02-07,14466,565,538804
E92000001,England,nation,2021-02-06,16302,609,410657
E92000001,England,nation,2021-02-05,17314,673,612325
E92000001,England,nation,2021-02-04,18529,649,726501
E92000001,England,nation,2021-02-03,17265,776,732372
E92000001,England,nation,2021-02-02,15021,759,556388
E92000001,England,nation,2021-02-01,16815,800,606640
E92000001,England,nation,2021-01-31,19054,810,531033
E92000001,England,nation,2021-01-30,21089,831,391911
E92000001,England,nation,2021-01-29,26709,945,605879
E92000001,England,nation,2021-01-28,26182,1016,688218
E92000001,England,nation,2021-01-27,22914,1006,703483
E92000001,England,nation,2021-01-26,17920,958,546624
E92000001,England,nation,2021-01-25,20149,1071,506076
E92000001,England,nation,2021-01-24,27580,1037,367638
E92000001,England,nation,2021-01-23,30496,1055,429003
E92000001,England,nation,2021-01-22,37115,1118,568070
E92000001,England,nation,2021-01-21,34371,1135,592060
E92000001,England,nation,2021-01-20,35061,1172,568125
E92000001,England,nation,2021-01-19,30371,1246,516094
E92000001,England,nation,2021-01-18,34134,1169,510286
E92000001,England,nation,2021-01-17,35263,1169,364754
E92000001,England,nation,2021-01-16,37759,1164,431296
E92000001,England,nation,2021-01-15,50741,1100,531635
E92000001,England,nation,2021-01-14,44358,1088,598003
E92000001,England,nation,2021-01-13,42898,1100,545743
E92000001,England,nation,2021-01-12,41121,1087,504843
E92000001,England,nation,2021-01-11,41835,1007,482894
E92000001,England,nation,2021-01-10,50291,980,402499
E92000001,England,nation,2021-01-09,54257,923,482502
E92000001,England,nation,2021-01-08,61757,888,592281
E92000001,England,nation,2021-01-07,46841,886,537119
E92000001,England,nation,2021-01-06,56060,824,492394
E92000001,England,nation,2021-01-05,54940,822,439597
E92000001,England,nation,2021-01-04,53180,755,414432
E92000001,England,nation,2021-01-03,46853,649,382173
E92000001,England,nation,2021-01-02,49248,670,349307
E92000001,England,nation,2021-01-01,50746,642,362497
E92000001,England,nation,2020-12-31,49510,651,442318
E92000001,England,nation,2020-12-30,43554,621,349457
E92000001,England,nation,2020-12-29,47164,580,284345
E92000001,England,nation,2020-12-28,36511,590,318747
E92000001,England,nation,2020-12-27,25619,572,319518
E92000001,England,nation,2020-12-26,31307,566,226824
E92000001,England,nation,2020-12-25,31560,537,310558
E92000001,England,nation,2020-12-24,35561,484,418340
E92000001,England,nation,2020-12-23,34247,484,437996
E92000001,England,nation,2020-12-22,32288,486,386644
E92000001,England,nation,2020-12-21,28742,498,361195
E92000001,England,nation,2020-12-20,32155,428,352837
